time,setpoint,velocity,error,control
1.360,100.00,101.4938,-1.8724,8.2941
1.370,100.00,101.8639,-1.4938,12.0000
1.380,100.00,101.4851,-1.8639,8.2926
1.390,100.00,101.8554,-1.4851,12.0000
1.400,100.00,101.4765,-1.8554,8.2911
1.410,100.00,101.8470,-1.4765,12.0000
1.420,100.00,101.4680,-1.8470,8.2896
1.430,100.00,101.8386,-1.4680,12.0000
1.440,100.00,101.4595,-1.8386,8.2881
1.450,100.00,101.8303,-1.4595,12.0000
1.460,100.00,101.4510,-1.8303,8.2866
1.470,100.00,101.8220,-1.4510,12.0000
1.480,100.00,101.4426,-1.8220,8.2852
1.490,100.00,101.8137,-1.4426,12.0000
1.500,100.00,101.4342,-1.8137,8.2837
1.510,100.00,101.8055,-1.4342,12.0000
1.520,100.00,101.4259,-1.8055,8.2823
1.530,100.00,101.7973,-1.4259,12.0000
1.540,100.00,101.4176,-1.7973,8.2808
1.550,100.00,101.7892,-1.4176,12.0000
1.560,100.00,101.4093,-1.7892,8.2794
1.570,100.00,101.7811,-1.4093,12.0000
1.580,100.00,101.4011,-1.7811,8.2780
1.590,100.00,101.7731,-1.4011,12.0000
1.600,100.00,101.3929,-1.7731,8.2766
1.610,100.00,101.7651,-1.3929,12.0000
1.620,100.00,101.3848,-1.7651,8.2752
1.630,100.00,101.7571,-1.3848,12.0000
1.640,100.00,101.3767,-1.7571,8.2738
1.650,100.00,101.7492,-1.3767,12.0000
1.660,100.00,101.3687,-1.7492,8.2724
1.670,100.00,101.7413,-1.3687,12.0000
1.680,100.00,101.3607,-1.7413,8.2710
1.690,100.00,101.7334,-1.3607,12.0000
1.700,100.00,101.3527,-1.7334,8.2696
1.710,100.00,101.7256,-1.3527,12.0000
1.720,100.00,101.3448,-1.7256,8.2682
1.730,100.00,101.7179,-1.3448,12.0000
1.740,100.00,101.3369,-1.7179,8.2668
1.750,100.00,101.7101,-1.3369,12.0000
1.760,100.00,101.3290,-1.7101,8.2655
1.770,100.00,101.7025,-1.3290,12.0000
1.780,100.00,101.3212,-1.7025,8.2641
1.790,100.00,101.6948,-1.3212,12.0000
